country_code,Country name
ALB,Albania
AUT,Austria
BIH,Bosnia and Herzegovina
BEL,Belgium
BGR,Bulgaria
CHE,Switzerland
CYP,Cyprus
DEU,Germany
DNK,Denmark
EST,Estonia
ESP,Spain
FIN,Finland
FRA,France
GBR,United Kingdom of Great Britain and Northern Ireland
GRC,Greece
HRV,Croatia
HUN,Hungary
IRL,Ireland
ISL,Iceland
ITA,Italy
LTU,Lithuania
LUX, Luxemburg
LVA,Latvia
MNE, Montenegro
MKD,The former Yugoslav Republic of Macedonia
MT,Malta
NLD,Netherlands
NOR,Norway
POL,Poland
PRT,Portugal
ROU,Romania
SRB,Serbia
SWE,Sweden
OSA,Slovenia
SVK, slovakia
TUR, turkey
OSA, Kosovo
